gun,state,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M
9mm,Florida,2016,150,27.88987517730498,-81.74165957446812,77,80,12,FL,20613477,1667,8.998200359928015,80.86942343593951
Handgun,Florida,2016,868,27.99128458737867,-81.70067864077673,122,205,12,FL,20613477,1667,52.069586082783445,80.86942343593951
Other,Florida,2016,13,27.55532727272727,-81.12120909090908,0,8,12,FL,20613477,1667,0.7798440311937612,80.86942343593951
Rifle,Florida,2016,145,28.470719548872193,-81.6462458646617,21,57,12,FL,20613477,1667,8.698260347930415,80.86942343593951
Shotgun,Florida,2016,114,28.51038113207548,-81.98819056603776,24,38,12,FL,20613477,1667,6.838632273545291,80.86942343593951
12 gauge,Florida,2017,25,28.518096,-82.774412,0,1,12,FL,20963613,1127,2.218278615794144,53.75981706970072
16 gauge,Florida,2017,3,28.169566666666668,-82.1946,1,0,12,FL,20963613,1127,0.26619343389529726,53.75981706970072
20 gauge,Florida,2017,2,29.87415,-83.63585,0,0,12,FL,20963613,1127,0.1774622892635315,53.75981706970072
22 LR,Florida,2017,65,28.504641935483875,-82.11243387096776,5,5,12,FL,20963613,1127,5.767524401064774,53.75981706970072
25 Auto,Florida,2017,14,28.71016428571429,-81.58076428571428,0,1,12,FL,20963613,1127,1.2422360248447204,53.75981706970072
30-06 Spr,Florida,2017,2,29.771099999999997,-82.2336,0,1,12,FL,20963613,1127,0.1774622892635315,53.75981706970072
30-30 Win,Florida,2017,1,27.2025,-82.4934,0,0,12,FL,20963613,1127,0.08873114463176575,53.75981706970072
308 Win,Florida,2017,3,30.218566666666664,-83.01010000000001,0,0,12,FL,20963613,1127,0.26619343389529726,53.75981706970072
32 Auto,Florida,2017,5,28.676460000000002,-82.71579999999999,1,0,12,FL,20963613,1127,0.44365572315882873,53.75981706970072
357 Mag,Florida,2017,9,27.62708888888889,-82.21547777777778,1,2,12,FL,20963613,1127,0.7985803016858918,53.75981706970072
38 Spl,Florida,2017,41,28.39014285714286,-81.95345142857141,2,6,12,FL,20963613,1127,3.6379769299023956,53.75981706970072
380 Auto,Florida,2017,53,28.507875471698107,-82.28565094339623,3,8,12,FL,20963613,1127,4.702750665483585,53.75981706970072
40 SW,Florida,2017,60,27.874982456140355,-81.56321228070178,7,8,12,FL,20963613,1127,5.323868677905945,53.75981706970072
410 gauge,Florida,2017,4,29.453924999999998,-82.36552499999999,1,2,12,FL,20963613,1127,0.354924578527063,53.75981706970072
44 Mag,Florida,2017,1,29.1406,-80.9647,0,0,12,FL,20963613,1127,0.08873114463176575,53.75981706970072
45 Auto,Florida,2017,67,28.039343939393937,-81.66837878787877,14,14,12,FL,20963613,1127,5.944986690328305,53.75981706970072
9mm,Florida,2017,164,27.96210679012344,-81.54729444444443,14,39,12,FL,20963613,1127,14.551907719609583,53.75981706970072
Handgun,Florida,2017,464,28.264550971922258,-82.00084276457876,76,95,12,FL,20963613,1127,41.171251109139305,53.75981706970072
Other,Florida,2017,12,28.323925,-82.05797500000001,0,0,12,FL,20963613,1127,1.064773735581189,53.75981706970072
Rifle,Florida,2017,88,27.875378160919553,-81.43577126436783,8,11,12,FL,20963613,1127,7.808340727595386,53.75981706970072
Shotgun,Florida,2017,44,28.779293181818183,-82.38106818181815,14,16,12,FL,20963613,1127,3.904170363797693,53.75981706970072
12 gauge,Florida,2018,5,27.81515,-81.45072499999999,0,0,12,FL,21244317,192,2.6041666666666665,9.037711120578741
22 LR,Florida,2018,9,29.466114285714287,-82.74388571428571,0,0,12,FL,21244317,192,4.6875,9.037711120578741
25 Auto,Florida,2018,1,25.4762,-80.4825,0,0,12,FL,21244317,192,0.5208333333333334,9.037711120578741
30-06 Spr,Florida,2018,1,29.0171,-82.0791,0,0,12,FL,21244317,192,0.5208333333333334,9.037711120578741
300 Win,Florida,2018,2,28.8739,-81.65415,0,0,12,FL,21244317,192,1.0416666666666667,9.037711120578741
308 Win,Florida,2018,1,28.5421,-81.3751,0,0,12,FL,21244317,192,0.5208333333333334,9.037711120578741
32 Auto,Florida,2018,1,29.1526,-82.1248,0,0,12,FL,21244317,192,0.5208333333333334,9.037711120578741
357 Mag,Florida,2018,2,26.76925,-80.2502,2,0,12,FL,21244317,192,1.0416666666666667,9.037711120578741
38 Spl,Florida,2018,8,29.054257142857143,-82.73225714285715,0,0,12,FL,21244317,192,4.166666666666667,9.037711120578741
380 Auto,Florida,2018,13,27.59720833333333,-81.791375,1,3,12,FL,21244317,192,6.770833333333333,9.037711120578741
40 SW,Florida,2018,14,27.9348,-81.90093846153846,1,0,12,FL,21244317,192,7.291666666666667,9.037711120578741
44 Mag,Florida,2018,1,26.6009,-80.1239,0,1,12,FL,21244317,192,0.5208333333333334,9.037711120578741
45 Auto,Florida,2018,6,28.165,-81.131675,2,2,12,FL,21244317,192,3.125,9.037711120578741
9mm,Florida,2018,36,28.2563606060606,-81.96808484848485,4,5,12,FL,21244317,192,18.75,9.037711120578741
Handgun,Florida,2018,67,29.095722580645134,-81.9273548387097,21,25,12,FL,21244317,192,34.895833333333336,9.037711120578741
Other,Florida,2018,5,28.53256,-81.64703999999999,0,0,12,FL,21244317,192,2.6041666666666665,9.037711120578741
Rifle,Florida,2018,14,29.87969285714286,-81.73338571428569,1,0,12,FL,21244317,192,7.291666666666667,9.037711120578741
Shotgun,Florida,2018,6,28.218850000000003,-80.844425,0,1,12,FL,21244317,192,3.125,9.037711120578741
12 gauge,Georgia,2014,1,33.5028,-82.0412,0,0,13,GA,10067278,46,2.1739130434782608,4.56925893970545
22 LR,Georgia,2014,5,32.82658,-83.50688,1,0,13,GA,10067278,46,10.869565217391305,4.56925893970545
25 Auto,Georgia,2014,1,33.9291,-83.4385,0,0,13,GA,10067278,46,2.1739130434782608,4.56925893970545
32 Auto,Georgia,2014,3,32.896899999999995,-83.80586666666667,0,0,13,GA,10067278,46,6.521739130434782,4.56925893970545
357 Mag,Georgia,2014,1,33.6356,-84.4333,0,0,13,GA,10067278,46,2.1739130434782608,4.56925893970545
380 Auto,Georgia,2014,6,33.565266666666666,-83.61413333333336,1,0,13,GA,10067278,46,13.043478260869565,4.56925893970545
40 SW,Georgia,2014,1,32.4377,-84.9238,0,0,13,GA,10067278,46,2.1739130434782608,4.56925893970545
45 Auto,Georgia,2014,5,33.34724,-84.11104,1,2,13,GA,10067278,46,10.869565217391305,4.56925893970545
9mm,Georgia,2014,11,33.05321818181819,-83.90386363636365,2,2,13,GA,10067278,46,23.91304347826087,4.56925893970545
Handgun,Georgia,2014,7,32.930257142857144,-83.11391428571427,1,1,13,GA,10067278,46,15.217391304347826,4.56925893970545
Other,Georgia,2014,1,32.8357,-83.6371,0,0,13,GA,10067278,46,2.1739130434782608,4.56925893970545
Rifle,Georgia,2014,2,33.6606,-84.29655,0,4,13,GA,10067278,46,4.3478260869565215,4.56925893970545
Shotgun,Georgia,2014,2,32.9481,-82.963,1,0,13,GA,10067278,46,4.3478260869565215,4.56925893970545
12 gauge,Georgia,2015,22,33.187945454545456,-83.22909090909091,0,5,13,GA,10178447,1289,1.7067494181536074,126.64014461145202
16 gauge,Georgia,2015,1,34.187,-85.176,0,0,13,GA,10178447,1289,0.07757951900698215,126.64014461145202
20 gauge,Georgia,2015,8,32.858525,-83.69238750000001,0,1,13,GA,10178447,1289,0.6206361520558572,126.64014461145202
22 LR,Georgia,2015,73,33.526843835616425,-83.73458356164384,6,8,13,GA,10178447,1289,5.663304887509698,126.64014461145202
25 Auto,Georgia,2015,14,33.63308571428572,-83.46667142857143,1,3,13,GA,10178447,1289,1.0861132660977502,126.64014461145202
30-06 Spr,Georgia,2015,4,34.1603,-83.569725,0,2,13,GA,10178447,1289,0.3103180760279286,126.64014461145202
30-30 Win,Georgia,2015,5,34.04178,-83.33956,2,0,13,GA,10178447,1289,0.3878975950349108,126.64014461145202
300 Win,Georgia,2015,2,33.262600000000006,-82.63195,0,0,13,GA,10178447,1289,0.1551590380139643,126.64014461145202
308 Win,Georgia,2015,2,33.2071,-84.89545,0,0,13,GA,10178447,1289,0.1551590380139643,126.64014461145202
32 Auto,Georgia,2015,11,33.42978181818182,-83.49162727272727,0,1,13,GA,10178447,1289,0.8533747090768037,126.64014461145202
357 Mag,Georgia,2015,11,33.15982727272727,-83.99915454545454,1,4,13,GA,10178447,1289,0.8533747090768037,126.64014461145202
38 Spl,Georgia,2015,37,33.617489189189186,-83.86330270270271,3,1,13,GA,10178447,1289,2.8704422032583397,126.64014461145202
380 Auto,Georgia,2015,74,33.29156891891894,-83.80645405405407,3,7,13,GA,10178447,1289,5.740884406516679,126.64014461145202
40 SW,Georgia,2015,55,33.47126909090909,-83.88156727272731,7,10,13,GA,10178447,1289,4.266873545384018,126.64014461145202
410 gauge,Georgia,2015,4,34.05365,-83.42555,0,0,13,GA,10178447,1289,0.3103180760279286,126.64014461145202
44 Mag,Georgia,2015,3,34.01666666666667,-83.38043333333333,0,1,13,GA,10178447,1289,0.23273855702094648,126.64014461145202
45 Auto,Georgia,2015,51,33.509413725490205,-83.88964509803918,14,9,13,GA,10178447,1289,3.95655546935609,126.64014461145202
9mm,Georgia,2015,107,33.43322616822431,-83.9911009345794,7,13,13,GA,10178447,1289,8.30100853374709,126.64014461145202
Handgun,Georgia,2015,615,33.26330829268304,-83.68062471544724,57,142,13,GA,10178447,1289,47.71140418929403,126.64014461145202
Other,Georgia,2015,17,33.15588235294117,-83.35909411764706,1,1,13,GA,10178447,1289,1.3188518231186968,126.64014461145202
Rifle,Georgia,2015,93,33.160693548387115,-83.59712043010751,9,15,13,GA,10178447,1289,7.21489526764934,126.64014461145202
