state,year,gun,count_guns,latitude,longitude,mean_n_killed,mean_n_injured,count_handgun,count_shotgun,fip,state_abbr,population
Arizona,2014,Shotgun,2,34.388400000000004,-111.933,0.0,0.5,0,2,4, AZ,6730413
Arizona,2014,Unknown,91,33.34248901098902,-112.11225274725271,0.46153846153846156,0.46153846153846156,0,0,4, AZ,6730413
Arizona,2015,22 LR,9,33.75789999999999,-112.27266666666665,0.1111111111111111,0.1111111111111111,0,0,4, AZ,6829676
Arizona,2015,25 Auto,2,33.4347,-112.006,0.0,0.0,0,0,4, AZ,6829676
Arizona,2015,30-06 Spr,1,35.2233,-114.223,1.0,0.0,0,0,4, AZ,6829676
Arizona,2015,32 Auto,1,34.2615,-111.307,1.0,0.0,0,0,4, AZ,6829676
Arizona,2015,357 Mag,5,34.1252,-112.39080000000001,0.0,0.2,0,0,4, AZ,6829676
Arizona,2015,38 Spl,4,33.171425,-111.75550000000001,0.0,0.0,0,0,4, AZ,6829676
Arizona,2015,380 Auto,19,33.35214210526317,-111.91426315789477,0.0,0.0,0,0,4, AZ,6829676
Arizona,2015,40 SW,11,33.3074090909091,-111.89136363636364,0.09090909090909091,0.0,0,0,4, AZ,6829676
Arizona,2015,45 Auto,6,33.57298333333333,-112.166,0.0,0.3333333333333333,0,0,4, AZ,6829676
Arizona,2015,9mm,22,33.38749545454546,-111.97304545454546,0.4090909090909091,0.13636363636363635,0,0,4, AZ,6829676
Arizona,2015,Handgun,19,33.32151578947368,-111.86905263157898,0.8421052631578947,0.3157894736842105,19,0,4, AZ,6829676
Arizona,2015,Other,1,31.7161,-110.07700000000001,0.0,2.0,0,0,4, AZ,6829676
Arizona,2015,Rifle,5,33.8224,-111.85740000000001,0.0,0.6,0,0,4, AZ,6829676
Arizona,2015,Shotgun,1,33.4874,-111.971,0.0,0.0,0,1,4, AZ,6829676
Arizona,2015,Unknown,154,33.830403947368445,-112.22325657894723,0.37012987012987014,0.24675324675324675,0,0,4, AZ,6829676
Arizona,2016,22 LR,4,33.5901,-111.34400000000001,0.0,0.5,0,0,4, AZ,6941072
Arizona,2016,357 Mag,2,34.745400000000004,-114.2285,0.0,0.5,0,0,4, AZ,6941072
Arizona,2016,38 Spl,1,32.3719,-111.139,1.0,0.0,0,0,4, AZ,6941072
Arizona,2016,380 Auto,2,33.4347,-112.006,0.0,0.0,0,0,4, AZ,6941072
Arizona,2016,410 gauge,1,,,1.0,0.0,0,0,4, AZ,6941072
Arizona,2016,44 Mag,1,33.0239,-111.385,0.0,0.0,0,0,4, AZ,6941072
Arizona,2016,45 Auto,1,34.4679,-114.336,0.0,0.0,0,0,4, AZ,6941072
Arizona,2016,9mm,7,33.371919999999996,-111.95660000000001,0.5714285714285714,0.2857142857142857,0,0,4, AZ,6941072
Arizona,2016,Handgun,67,33.3636859375,-111.96635937499998,0.5373134328358209,0.2537313432835821,67,0,4, AZ,6941072
Arizona,2016,Other,1,35.2106,-114.241,0.0,1.0,0,0,4, AZ,6941072
Arizona,2016,Rifle,8,33.321537500000005,-111.5995,0.625,0.125,0,0,4, AZ,6941072
Arizona,2016,Shotgun,10,33.592999999999996,-112.38999999999999,0.4,0.6,0,10,4, AZ,6941072
Arizona,2016,Unknown,412,33.08177220779218,-111.74328831168809,0.3932038834951456,0.4344660194174757,0,0,4, AZ,6941072
Arizona,2017,12 gauge,2,32.777,-109.711,0.0,0.5,0,0,4, AZ,7044008
Arizona,2017,22 LR,5,32.919579999999996,-110.76399999999998,0.4,0.6,0,0,4, AZ,7044008
