state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Iowa,2016,527,41.95554551020413,-92.7636985714286,0.10815939278937381,0.24667931688804554,27.054054054054053,73.0,450,39,19,IA,3131371,0.13851992409867173,92.02453987730061,7.975460122699387,168.2968897648985
Iowa,2017,493,41.94523847780124,-92.78383382663846,0.09939148073022312,0.3407707910750507,27.072,72.0,439,28,19,IA,3141550,0.1460446247464503,94.00428265524626,5.995717344753747,156.92890452165332
Iowa,2018,95,41.924099999999996,-92.61551279069765,0.07368421052631578,0.2,28.424242424242426,12.0,80,8,19,IA,3148618,0.12631578947368421,90.9090909090909,9.090909090909092,30.171967510825386
Kansas,2013,2,37.7044,-97.3289,1.0,4.0,30.0,0.0,2,0,20,KS,2893212,0.0,100.0,0.0,0.6912732285086609
Kansas,2014,378,38.21663412698414,-96.67151243386253,0.19576719576719576,0.328042328042328,29.248275862068965,26.0,303,17,20,KS,2900475,0.06878306878306878,94.6875,5.3125,130.32348149872004
Kansas,2015,404,38.248521553884714,-96.58994711779457,0.2747524752475248,0.4034653465346535,28.893023255813954,29.0,319,19,20,KS,2909011,0.07178217821782178,94.37869822485207,5.621301775147929,138.87881482744478
Kansas,2016,481,38.339360592255126,-96.62969225512529,0.22245322245322247,0.37422037422037424,28.55805243445693,42.0,395,33,20,KS,2910844,0.08731808731808732,92.28971962616822,7.710280373831775,165.2441697322151
Kansas,2017,470,38.426437694013316,-96.27658292682908,0.25957446808510637,0.4,30.886524822695037,43.0,379,30,20,KS,2908718,0.09148936170212765,92.66503667481662,7.334963325183374,161.58321294810978
Kansas,2018,125,38.42077704918032,-96.43531885245902,0.216,0.32,28.11904761904762,22.0,107,6,20,KS,2911359,0.176,94.69026548672566,5.3097345132743365,42.935275244310304
Kentucky,2013,1,38.0485,-84.45299999999999,1.0,4.0,22.0,0.0,1,0,21,KY,4404659,0.0,100.0,0.0,0.22703233099315975
Kentucky,2014,1064,37.92136142991541,-85.17612257761063,0.17293233082706766,0.2932330827067669,30.28021978021978,67.0,956,75,21,KY,4414349,0.06296992481203008,92.725509214355,7.274490785645005,241.03214313141078
Kentucky,2015,791,37.78547253164561,-85.55097025316459,0.2553729456384324,0.38305941845764857,31.410852713178294,60.0,659,72,21,KY,4425976,0.07585335018963338,90.15047879616964,9.849521203830369,178.71764329494783
Kentucky,2016,872,37.774650644329895,-85.6113836340206,0.30504587155963303,0.37270642201834864,30.23931623931624,81.0,705,84,21,KY,4438182,0.09288990825688073,89.35361216730038,10.64638783269962,196.47684569943277
